,do_nothing,mine_minerals,mine_gas,build_assimilator,build_pylon,build_gateway,build_cybercore,train_probe,train_zealot,train_stalker,harass,attack_all
[17  0  0  0 22  0  0  0],0.0,8.958894219176702e-10,6.31559474418395e-10,2.9485968909079804e-09,6.31559474418395e-10,6.31559474418395e-10,9.07442494458617e-09,1.0958572850997602e-09,6.369638444072541e-10,6.443826899483676e-10,0.0,8.235334747985644e-10
[16  0  0  0 22  1  0  0],3.6011917912040503e-09,6.435307248292131e-09,2.8794139919274985e-08,1.7016772035035076e-08,3.883668704559385e-09,9.763424590123063e-08,3.5423390407776055e-09,2.6907560782536445e-08,3.785114858401704e-09,1.245288040839277e-08,6.346209325290745e-09,8.812163041497815e-09
[17  0  0  0 22  1  0  0],2.0191600539724303e-08,8.03997606869379e-09,2.903953233079098e-09,9.402691295843e-09,3.3844037502566406e-09,8.75812423910182e-09,3.0262728047012775e-09,3.073142915002181e-08,3.0623280808803673e-09,7.841346371969567e-09,9.00928796603191e-09,7.613698468219436e-09
[16  0  0  0 21  1  0  0],3.347122730816604e-08,8.765341116144796e-09,1.6311737438152783e-09,2.6214462364691598e-09,6.771655653669473e-08,1.1302630399082491e-08,9.553672236697198e-09,2.7890677726072292e-08,3.6623460040896317e-09,1.546394965559867e-08,2.7869793415348177e-09,1.2149814840860628e-08
[16  0  0  0 29  1  0  0],1.1067558950628477e-07,3.8694194798185376e-08,5.792910040237519e-08,5.1361181818743516e-08,6.552673878174479e-08,1.9549822222650877e-07,1.1593587528982668e-07,6.22900264680987e-08,2.336473716229132e-07,1.2354366216925897e-07,3.360355750029151e-08,1.5635971654204193e-07
[17  0  0  0 28  1  0  0],0.0,1.8801623647280785e-07,9.156464786164581e-10,3.126845081906031e-07,5.535684554334507e-08,3.5689077678340576e-07,1.0980633832910262e-08,1.0989023221493907e-06,9.625909303854561e-07,2.6846825369004227e-11,8.132957282779068e-10,1.0152443258968e-07
[18  0  0  0 28  1  0  0],4.1657389972170435e-07,6.483027478196214e-09,1.317077014329286e-07,4.6238190049016404e-07,0.0,8.947949149765289e-09,4.190806224657851e-06,8.281256043068395e-08,3.80593078160355e-06,0.0,2.712166730281388e-09,5.941564092385263e-09
[18  0  0  0 28  1  1  0],0.0,1.752337572497294e-08,3.072025227120743e-08,1.8415337882251444e-08,5.106256147384949e-08,5.163930354098576e-07,5.616628953996098e-09,3.867495123082861e-07,5.2520364813324556e-08,0.0,9.000625901739233e-08,0.0
[19  0  0  0 28  1  1  0],8.101247346121624e-08,0.0,1.0539402262287182e-07,5.083629719695476e-08,0.0,0.0,6.105140791257237e-05,1.8159550241115354e-08,0.0,0.0,0.0,5.083629719695476e-08
[18  0  0  0 28  1  1  1],7.165022964597395e-06,1.1723917606361181e-05,9.586078418334273e-06,4.625063922371704e-05,5.461969318992247e-06,9.28090741043533e-06,7.29545990495052e-06,7.998805431599595e-06,4.2165229844885895e-05,1.6867013361342763e-05,4.526508735796238e-06,8.676221110532628e-06
[19  0  0  0 28  1  1  1],4.331771003361876e-06,4.92536788250862e-06,1.1033641352394843e-05,3.3238556675918823e-06,0.0,0.0,1.1582303324368754e-06,6.154189174931621e-06,3.470103323579099e-06,3.0227061102106133e-06,5.1965711694006824e-06,1.6778874493769436e-05
[18  1  0  0 28  1  1  1],2.590010449248202e-05,5.317369003730999e-06,4.349052363213835e-05,0.0,1.1517539332432355e-05,5.324154526370463e-05,6.410018316688345e-05,0.00013053526677405503,0.0006768771818389066,3.112941566579997e-06,4.525889958040756e-05,8.839626574925082e-06
[19  2  0  0 28  1  1  1],6.844666960424539e-07,0.0,0.0,0.0,6.222424509476854e-08,0.0,0.0,2.181031457852505e-05,0.0,1.182260656800602e-07,0.0,6.913805010529837e-07
[18  2  0  0 28  1  1  1],0.0,0.0,0.0,1.1479112936065816e-05,0.0,1.3245748416926346e-05,6.9760292556246035e-06,0.0,0.0011504202818248838,6.913805010529837e-07,7.877787124670462e-06,0.0
