,do_nothing,mine_minerals,mine_gas,build_assimilator,build_pylon,build_gateway,build_cybercore,train_probe,train_zealot,train_stalker,harass,attack_all
"(16, 2, 1, 0, 28, 2, 1, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(17, 2, 1, 0, 28, 2, 1, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(17, 2, 1, 0, 25, 2, 1, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(19, 2, 1, 0, 25, 2, 1, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(18, 2, 1, 0, 22, 2, 1, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(19, 2, 1, 0, 22, 2, 1, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(19, 2, 1, 0, 21, 2, 1, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(20, 2, 1, 1, 21, 2, 1, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(19, 2, 1, 1, 21, 2, 1, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.975462231299322e-18
"(19, 2, 1, 1, 19, 2, 1, 4)",0.0,0.0,1.2323625398142935e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(20, 2, 1, 1, 19, 2, 1, 4)",0.0,1.5220902407717794e-14,0.0,0.0,0.0,3.359615772792613e-13,0.0,0.0,0.0,0.0,3.8265696109506036e-13,0.0
"(21, 2, 1, 1, 19, 2, 1, 4)",0.0,0.0,0.0,0.0,0.0,0.0,4.356896342465132e-14,0.0,0.0,0.0,0.0,0.0
"(20, 2, 1, 2, 17, 2, 1, 4)",1.1580082818400105e-17,3.440351746394578e-13,8.157709782628467e-13,0.0,0.0,3.595228984809261e-13,7.983498615394622e-13,0.0,0.0,3.8148918808256755e-12,3.0840209463881635e-16,6.104562768140218e-16
"(20, 2, 1, 2, 17, 2, 1, 5)",2.0667538893294778e-13,0.0,1.2967868240778945e-15,0.0,3.4965539287843634e-14,0.0,0.0,3.0531807369242824e-16,1.6112765256657074e-13,3.3063539488116483e-16,1.5616366756734198e-12,0.0
"(21, 2, 1, 2, 17, 2, 1, 4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.786938687499777e-13,0.0
"(20, 2, 1, 3, 15, 2, 1, 4)",0.0,6.317809611460996e-12,0.0,3.658068391446947e-13,5.9396288097025806e-15,0.0,0.0,1.0982505446811255e-12,4.382456486354696e-12,3.506543798070786e-11,0.0,9.765379978822317e-13
